ticker,date,headline,sentiment_score,sentiment_label,positive_signals,negative_signals,source,relevance_score
AAPL,2026-06-08T20:48:38.738992,AAPL faces regulatory scrutiny in latest investigation,0.5,Neutral,0,0,Reuters,0.97
MSFT,2026-06-08T20:48:38.738992,Analysts downgrade MSFT citing market challenges,0.0,Negative,0,3,Reuters,0.63
GOOGL,2026-06-08T20:48:38.738992,GOOGL increases dividend by 18% signaling confidence in growth,1.0,Positive,1,0,Bloomberg,0.9
JPM,2026-06-08T20:48:38.738992,Institutional investors increase position in JPM stock,0.5,Neutral,0,0,MarketWatch,0.9
JNJ,2026-06-08T20:48:38.738992,JNJ wins industry recognition award,0.5,Neutral,0,0,Financial Times,0.65
XOM,2026-06-08T20:48:38.738992,Major client drops XOM amid competitive pressures,0.5,Neutral,0,0,Bloomberg,0.68
AMZN,2026-06-08T20:48:38.738992,AMZN maintains market position in steady trading,0.5,Neutral,0,0,MarketWatch,0.96
NVDA,2026-06-08T20:48:38.738992,Institutional investors increase position in NVDA stock,0.5,Neutral,0,0,WSJ,0.92
PFE,2026-06-08T20:48:38.738992,PFE reports declining margins amid rising costs,0.5,Neutral,0,0,Reuters,0.76
WMT,2026-06-08T20:48:38.738992,WMT expands R&D team with new hires,0.5,Neutral,0,0,WSJ,0.99
AAPL,2026-06-07T20:48:38.746903,AAPL announces major partnership with industry leader,0.5,Neutral,0,0,WSJ,0.92
MSFT,2026-06-07T20:48:38.746903,MSFT maintains market position in steady trading,0.5,Neutral,0,0,Bloomberg,0.94
GOOGL,2026-06-07T20:48:38.746903,Major client drops GOOGL amid competitive pressures,0.5,Neutral,0,0,MarketWatch,0.77
JPM,2026-06-07T20:48:38.746903,JPM launches innovative new device gaining analyst praise,1.0,Positive,1,0,Reuters,0.72
JNJ,2026-06-07T20:48:38.746903,JNJ maintains market position in steady trading,0.5,Neutral,0,0,WSJ,0.99
XOM,2026-06-07T20:48:38.746903,Institutional investors increase position in XOM stock,0.5,Neutral,0,0,Bloomberg,0.64
AMZN,2026-06-07T20:48:38.746903,AMZN wins industry recognition award,0.5,Neutral,0,0,Reuters,0.8
NVDA,2026-06-07T20:48:38.746903,NVDA updates product roadmap for upcoming year,0.5,Neutral,0,0,MarketWatch,0.88
PFE,2026-06-07T20:48:38.746903,PFE participates in financial conference,0.5,Neutral,0,0,Bloomberg,0.95
WMT,2026-06-07T20:48:38.746903,Analysts downgrade WMT citing market challenges,0.0,Negative,0,3,Financial Times,0.78
AAPL,2026-06-06T20:48:38.746903,AAPL launches innovative new device gaining analyst praise,1.0,Positive,1,0,MarketWatch,0.67
MSFT,2026-06-06T20:48:38.746903,Institutional investors increase position in MSFT stock,0.5,Neutral,0,0,WSJ,0.85
GOOGL,2026-06-06T20:48:38.746903,GOOGL expands R&D team with new hires,0.5,Neutral,0,0,Reuters,0.7
JPM,2026-06-06T20:48:38.746903,JPM expands R&D team with new hires,0.5,Neutral,0,0,Reuters,0.84
JNJ,2026-06-06T20:48:38.746903,JNJ releases sustainability report,0.5,Neutral,0,0,Financial Times,0.84
XOM,2026-06-06T20:48:38.746903,Institutional investors increase position in XOM stock,0.5,Neutral,0,0,Bloomberg,0.63
AMZN,2026-06-06T20:48:38.746903,AMZN wins industry recognition award,0.5,Neutral,0,0,WSJ,0.86
NVDA,2026-06-06T20:48:38.746903,NVDA maintains market position in steady trading,0.5,Neutral,0,0,Financial Times,0.73
PFE,2026-06-06T20:48:38.746903,PFE expands R&D team with new hires,0.5,Neutral,0,0,WSJ,0.83
